plaintext_url,title,author,reading_level,ebook_no,language,most_recently_updated,book_page_url
https://books.flotwiskunde.nl/ebooks/books/1232.txt,The Prince by NiccolÃ² Machiavelli,"Machiavelli, NiccolÃ², 1469-1527",Reading ease score: 50.0 (10th to 12th grade). Somewhat difficult to read.,1232,English,"Jul 1, 2022",https://books.flotwiskunde.nl/ebooks/1232
https://books.flotwiskunde.nl/ebooks/books/36034.txt,"White nights, and other stories by Fyodor Dostoyevsky","Dostoyevsky, Fyodor, 1821-1881",Reading ease score: 79.3 (7th grade). Fairly easy to read.,36034,English,,https://books.flotwiskunde.nl/ebooks/36034
https://books.flotwiskunde.nl/ebooks/books/205.txt,"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau","Thoreau, Henry David, 1817-1862",Reading ease score: 68.3 (8th & 9th grade). Neither easy nor difficult to read.,205,English,"Jan 16, 2026",https://books.flotwiskunde.nl/ebooks/205
https://books.flotwiskunde.nl/ebooks/books/2591.txt,Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm,"Grimm, Wilhelm, 1786-1859",Reading ease score: 81.8 (6th grade). Easy to read.,2591,English,"Jun 28, 2021",https://books.flotwiskunde.nl/ebooks/2591
https://books.flotwiskunde.nl/ebooks/books/46.txt,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens,"Dickens, Charles, 1812-1870",Reading ease score: 80.0 (6th grade). Easy to read.,46,English,"Nov 13, 2021",https://books.flotwiskunde.nl/ebooks/46
https://books.flotwiskunde.nl/ebooks/books/2600.txt,War and Peace by graf Leo Tolstoy,"Tolstoy, Leo, graf, 1828-1910",Reading ease score: 78.3 (7th grade). Fairly easy to read.,2600,English,"Jun 14, 2022",https://books.flotwiskunde.nl/ebooks/2600
https://books.flotwiskunde.nl/ebooks/books/3206.txt,Moby Multiple Language Lists of Common Words by Grady Ward,"Ward, Grady, 1951-",Reading ease score: 70.4 (7th grade). Fairly easy to read.,3206,English,"Aug 28, 2025",https://books.flotwiskunde.nl/ebooks/3206
https://books.flotwiskunde.nl/ebooks/books/4300.txt,Ulysses by James Joyce,"Joyce, James, 1882-1941",Reading ease score: 83.7 (6th grade). Easy to read.,4300,English,"Nov 27, 2025",https://books.flotwiskunde.nl/ebooks/4300
https://books.flotwiskunde.nl/ebooks/books/5200.txt,Metamorphosis by Franz Kafka,"Kafka, Franz, 1883-1924",Reading ease score: 68.9 (8th & 9th grade). Neither easy nor difficult to read.,5200,English,"Apr 28, 2021",https://books.flotwiskunde.nl/ebooks/5200
https://books.flotwiskunde.nl/ebooks/books/4363.txt,Beyond Good and Evil by Friedrich Wilhelm Nietzsche,"Nietzsche, Friedrich Wilhelm, 1844-1900",Reading ease score: 44.2 (College-level). Difficult to read.,4363,English,"Jan 9, 2019",https://books.flotwiskunde.nl/ebooks/4363
